"Station ID","Station Name","Zone","Lane","Actions Performed","Tools Required","Fixtures & Jigs","Consumables","Input Materials","Output Materials / WIP State","QC Check","Notes"
"S11","LED Strip Cut & Solder","Electronics Bench","LED Strip Prep","Cut strip to spec length at correct cut line; flux VIN/GND/DATA pads; solder connector plug to all three pads; inspect joints under loupe; post-solder power-on test","Hakko FX-888D soldering iron; fine tip; wire cutters/scissors; magnifying loupe or USB microscope; bench PSU for post-solder test; fume extractor; anti-static wrist strap","LED strip solder jig (holds strip flat, positions connector at correct angle)","63/37 rosin-core solder (thin gauge); flux pen; solder wick; isopropyl alcohol (IPA) and cotton swabs for cleanup","Tested LED strip rolls from S10; connector plugs","Cut and soldered LED strip assembly with connector attached; tested and verified; placed in labeled ESD-safe staging bin","Post-solder: power on with bench PSU — ALL LEDs must fire; inspect each joint under loupe (no cold joints, no bridges, no lifted pads)","Always flux before soldering; clean joints with IPA after; never skip post-solder power test; use solder jig every time — freehand soldering on flex strips causes inconsistent results"
"S12","LED Spacer Sub-Assembly","Electronics Bench","LED Strip Prep","Press LED strip assembly into 3D printed spacer; verify fit and alignment; route connector cable through spacer exit port; place completed sub-assembly in staging bin","Plastic spudger or press tool; anti-static mat","None","None","Soldered LED strip assembly from S11; 3D printed LED spacer","LED + spacer sub-assembly; connector cable routed and accessible; placed in staging bin labeled READY FOR FINAL ASSEMBLY","Verify strip is fully seated with no lifting; connector exits through correct port; no stress on solder joints from cable routing","3D printed spacers must be pre-inventoried — print a full week batch; inspect each spacer for layer delamination or warping before use"
"S13","Controller Receiving & Inspection","Electronics Bench","Controller Prep","Receive controllers from China shipment; inspect each for physical damage; check component count; sort into ESD-safe trays; log lot and quantity","Anti-static wrist strap; ESD-safe tweezers; magnifying loupe","ESD-safe tray (5-10 unit capacity)","None","Inbound controller PCBs (from China, ~5-day lead time)","Inspected controllers sorted into ESD-safe flash trays; damaged units quarantined and noted","Check for bent pins, damaged SMD components, missing components, PCB cracks or burn marks","Always handle with ESD precautions; never place controllers on bare bench surface; maintain a minimum 2-week buffer stock to cover lead time"
"S14","Firmware Flash Station","Electronics Bench","Controller Prep","Load tray of controllers into flashing jig; run batch flash script on Raspberry Pi; verify each unit flashes successfully; mark flashed units; place in FLASHED tray","Raspberry Pi flashing rig (wall or shelf mounted); pogo pin batch fixture (5-10 seats); USB hub if needed","Pogo pin fixture aligned to controller programming pads; TO FLASH and FLASHED labeled trays","None","Inspected controllers from S13 (in ESD tray, TO FLASH)","Flashed controllers in FLASHED tray; firmware version logged against lot number","Pi script must confirm successful flash for each unit; any failed flash goes back to start of queue; never mix flashed and unflashed units","NEVER mix FLASHED and TO FLASH trays; label trays clearly; log firmware version per batch; always flash in groups not one at a time — setup overhead is significant"
"S15","Controller Solder & Function Test","Electronics Bench","Controller Prep","Solder all required through-hole components and pad connections per controller BOM; inspect all joints; power-on function test; verify communication and LED data output","Hakko FX-888D soldering iron; chisel tip; multimeter; bench PSU; USB microscope or loupe; fume extractor; anti-static wrist strap","PCB vise or helping hands; anti-static mat","63/37 rosin-core solder; flux pen; solder wick; IPA + swabs for cleanup","Flashed controllers from S14","Fully soldered and tested controllers; function verified; placed in ESD staging bin","Inspect all joints under loupe; power-on test must confirm correct output on data line; check voltage rails with multimeter","Chisel tip for any larger pads/through-hole; fine tip for SMD work; clean all flux residue before housing install"
"S16","Controller Housing Assembly","Electronics Bench","Controller Prep","Seat soldered controller PCB into 3D printed housing; secure if required; route any connector cables; place completed sub-assembly in staging bin","Plastic spudger; ESD-safe tweezers","None","None","Tested controller from S15; 3D printed controller housing","Controller + housing sub-assembly; cables routed; placed in staging bin labeled READY FOR FINAL ASSEMBLY","PCB must be fully seated; no rocking or play in housing; all connectors accessible and unobstructed","Inspect housing for warping or delamination before use; print a full week buffer; do not force PCB into housing — if resistance is high the print needs to be re-toleranced"
"S17","Kitting Station","Assembly Bench","Final Assembly","Pull all sub-assemblies and hardware for one unit; check against kit checklist; place into labeled order tray; sign traveler card before proceeding to final assembly","None (organizational only)","Kitting shelf with labeled bins for each component type; order tray per unit","None","Finished frame (S06); 2x mirror panels (S08 or S09); LED+spacer sub-assembly (S12); controller+housing sub-assembly (S16); backing panel; fasteners/hardware per BOM; traveler card","Fully kitted order tray with traveler card; all components verified present before assembly begins","Check every line item on the kit checklist before releasing tray to assembly; any missing component sends the tray back — do not begin partial assembly","This station prevents mid-build stops; traveler card travels with the unit through final assembly and QC; never start final assembly without a complete kit"
"S18","Final Assembly","Assembly Bench","Final Assembly","Install controller housing into electronics pocket; lay mirror #1 into milled channels; seat LED strip assembly against mirror; lay mirror #2; install backing; route and manage all cables; secure connector for external access","Screwdrivers; rubber mallet; suction cup handles (for mirror handling); pick tool; cable tie tool","Rubber bench mat (protects mirrors); assembly jig or positioning guides if developed","Fasteners per BOM; cable ties; foam gasket material if spec requires","Complete kitted order tray from S17","Fully assembled LED mirror unit; all components installed; backing secured; connector accessible; ready for final QC","Visual check at each sub-step: controller seated correctly; mirrors seated fully in channels; no visible gaps; no loose cables internally","Handle mirrors with suction cups only — no bare hands on mirror faces; route cables before installing backing; ensure connector is fully accessible and strain-relieved"
"S19","Final Quality Control","QC / Finish Zone","Final Assembly","Full power-on test; LED uniformity check across all zones; visual inspection of mirror alignment and clarity; structural check for rattles or loose components; verify connector engagement; sign off traveler card","Bench PSU or standard power connector; multimeter; flashlight or high-CRI inspection light","QC checklist (laminated per-step); inspection light stand","None","Assembled LED mirror unit from S18","QC-passed unit with signed traveler card; or unit flagged for rework with defect noted on traveler card","Power-on: all LEDs fire, no dead zones, no flickering; mirror: no scratches, chips, fingerprints, misalignment; structure: no rattle, backing flush, joints tight; connector: engages and disengages cleanly","Zero tolerance for dead LEDs or cracked mirrors — these are automatic reworks; mark rework reason clearly on traveler card; do not box any unit without a signed-off traveler card"
"S20","Pack & Ship","Pack & Ship Zone","Final Assembly","Wrap unit in protective material; place in box with appropriate void fill; seal box; print and apply shipping label; log shipment; place in outbound area","Tape gun; label printer (Dymo or Rollo); scissors","None","Shipping box (sized to unit); bubble wrap or foam inserts; void fill; packing tape; shipping labels","QC-passed unit with signed traveler card from S19","Boxed and labeled unit in outbound staging area; shipment logged with tracking number","Verify shipping label matches order; check box integrity before sealing; confirm traveler card is complete and inside or filed","Keep this station completely separate from assembly and sanding areas — dust and loose hardware contaminate packed units; never box a unit without a completed traveler card"
